,,,"€3,572.50",,0,0,0,,
ID,Column1,Value status,Value,Category,Basic,Professional,Premium,CAT set,Stand Set
1,COPY DRAWING OBJECTS,Core-Free,€17.50,File Management,TRUE,TRUE,TRUE,TRUE,FALSE
2,MOVE FILE,Low,€9.00,File Management,TRUE,TRUE,TRUE,TRUE,FALSE
8,EXPORT TO STP,Low,€29.00,Drawing & Export,TRUE,TRUE,TRUE,TRUE,FALSE
9,EXPORT TO BIM,Mid,€79.00,Drawing & Export,FALSE,TRUE,TRUE,TRUE,FALSE
10,COMPONENT SIZE,Mid,€59.00,iProperty & Quantity,TRUE,TRUE,TRUE,TRUE,FALSE
12,CUSTOM QUANTITY,Core-Free,€30.00,iProperty & Quantity,TRUE,TRUE,TRUE,TRUE,FALSE
14,DRAWING STATUS,Core-Free,€27.50,iProperty & Quantity,TRUE,TRUE,TRUE,TRUE,FALSE
15,UPDATE PROPERTY,Core-Free,€12.00,iProperty & Quantity,TRUE,TRUE,TRUE,TRUE,FALSE
16,GET SURFACE AREA,Core-Free,€20.00,iProperty & Quantity,TRUE,FALSE,TRUE,TRUE,FALSE
18,PLACE COMPONENTS,Low,€39.00,Assembly & Modeling,FALSE,TRUE,TRUE,TRUE,FALSE
19,PATTERN QTY FROM EXCEL,Low,€29.00,Assembly & Modeling,FALSE,FALSE,TRUE,TRUE,FALSE
22,BOM STRUCTURE,Core-Free,€15.00,Assembly & Modeling,TRUE,TRUE,TRUE,TRUE,FALSE
23,SHEET METAL TO NORMAL,Core-Free,€8.00,Assembly & Modeling,FALSE,TRUE,TRUE,TRUE,FALSE
24,EXPORT STEP BY CATEGORY,Low,€29.00,Drawing & Export,FALSE,TRUE,TRUE,TRUE,FALSE
28,COPY DESIGN,High,€79.00,Assembly & Modeling,FALSE,TRUE,TRUE,TRUE,FALSE
29,CHECK MISSING FILES,Core-Free,€20.00,File Management,TRUE,TRUE,TRUE,TRUE,FALSE
30,DELETE NON-SOLID,Core-Free,€10.00,File Management,FALSE,TRUE,TRUE,TRUE,FALSE
31,DELETE HIDDEN COMPONETS,Core-Free,€12.50,File Management,TRUE,TRUE,TRUE,TRUE,FALSE
33,MODEL PLANES,Core-Free,€11.00,Advanced Tools,FALSE,TRUE,TRUE,FALSE,FALSE
34,GET BODY NAME IN BALLOON,Low,€11.00,Advanced Tools,FALSE,TRUE,TRUE,FALSE,FALSE
36,iProperties (Advanced),High,(Coming Soon),Advanced Tools,FALSE,FALSE,FALSE,FALSE,FALSE
37,7.Revision & Replace Set,set,€69.00,,FALSE,FALSE,FALSE,FALSE,FALSE
38,8.PDF Publishing Set,set,€169.00,,FALSE,FALSE,FALSE,FALSE,FALSE
39,9.Property & Quantity Mini Set,set,€69.00,,FALSE,FALSE,FALSE,FALSE,FALSE
40,10.Drawing & Production Set,set,€319.00,,FALSE,FALSE,FALSE,FALSE,FALSE
41,1.Basic,set,€179.00,,FALSE,FALSE,FALSE,FALSE,FALSE
42,2.Professional,set,€449.00,,FALSE,FALSE,FALSE,FALSE,FALSE
43,Premium Service Layer,set,(Coming Soon),,FALSE,FALSE,FALSE,FALSE,FALSE
44,3.Assembly & Modeling,set,€199.00,,FALSE,FALSE,FALSE,FALSE,FALSE
45,4.Drawing & Export,set,€239.00,,FALSE,FALSE,FALSE,FALSE,FALSE
46,5.File Management,set,€99.00,,FALSE,FALSE,FALSE,FALSE,FALSE
47,6.iProperty & Quantity,set,€129.00,,FALSE,FALSE,FALSE,FALSE,FALSE
48,COPY DESIGN Advanced,High,(Coming Soon),,FALSE,FALSE,FALSE,FALSE,FALSE
,,,,,,,,,
,Package,,,,,,,,
